Key,Source,Context,Example
Language.Name,Polish,,
Language.Region,Poland,,
Label.Thickness,Grubość,,
Label.Transparency,Przezroczystość,,
Label.Tags,Tagi,,
Label.RuleNumber,Reguła {Number:int},,
Title.InternalError,Błąd wewnętrzny,,
Title.CreateObject.SaveFile,Stwórz nowy zapis,,
Title.CreateObject.Folder,Stwórz nowy folder,,
Title.PurchaseRequired,Wymagany zakup,,
Title.AutosaveAvailable,Odzyskaj niezapisane rysunki,,
Title.DeleteSaveFile,Usunąć zapis?,,
Title.ClearAll,Wyczyścić wszystko?,,
DialogDescription.PurchaseRequired,Wymagany jest zakup zanim będziesz mógł skorzystać z tej funkcji.,,
DialogDescription.AutosaveAvailable,Inklii zostało ostatnio zamknięte zanim zapisałeś swoje prace. Wczytać je?,,
DialogDescription.DeleteSaveFile,Usunać {Name}? To działanie jest <b>stałe</b> i nie będziesz mógł tego cofnąć.,,
DialogDescription.ActionIrreversible,Ta czynność jest <b>nieodwracalna</b>.,,
Value.FileSize,{SizeInKilobytes:fixed} kb,,
Value.ObjectCount,{Objects:int},,
Tooltip.Undo,Cofnij,,
Tooltip.Redo,Przerób,,
Tooltip.TopDownCamera,Kamera z góry,,
Tooltip.Rooms,Pokoje,,
Tooltip.FileStorage,Zapisane rysunki,,
Tooltip.Preferences,Ustawienia,,
Toolbar.CameraTeleport,Teleportuj się tutaj,,
Tooltip.ClearAll,Wyczyść wszystko,,
Collaborate.StatusLabel,Współpraca z,,
Collaborate.StatusSingular,{Username},,
Collaborate.StatusPlural,{Members:int} inni,,
Layers.DefaultName,Warstwa {Index:int},,
Placeholder.Search,Szukaj,,
Placeholder.Name,Nazwa,,
FileStorage.UpdateTime,{Time:shortdatetime},,
FileStorage.UpdateTime.Recent,{Time:shorttime},,
FileStorage.Create.Header,Stwórz...,,
FileStorage.Create.Folder,Folder,,
FileStorage.Create.SaveFile,Zapisz,,
FileStorage.MoreOptions.Rename,Zmień nazwę,,
FileStorage.MoreOptions.Move,Przenieś,,
FileStorage.MoreOptions.Delete,Usuń,,
FileStorage.MoreOptions.Revert,Odwróć,,
PlayerList.ContextButton.AddFriend,Dodaj przyjaciela,,
PlayerList.ContextButton.RemoveFriend,Usuń przyjaciela,,
PlayerList.ContextButton.Hide,Ukryj,,
PlayerList.ContextButton.Unhide,Odkryj,,
PlayerList.ContextButton.Block,Zablokuj,,
PlayerList.ContextButton.Unblock,Odblokuj,,
Button.Save,Zapisz,,
Button.Load,Załaduj,,
Button.Cancel,Anuluj,,
Button.Create,Stwórz,,
Button.Okay,Okej,,
Button.Buy,Kup,,
Button.Finish,Zakończ,,
Button.Discard,Odrzuć,,
Button.Delete,Usuń,,
Button.Clear,Wyczyść,,
Button.Kick,Wyrzuć,,
Button.NoKick,Nie wyrzucaj,,
Toolset.Vector,Tryb wektora,,
Toolset.Pixel,Tryb piksela,,
Preferences.General,Główne,,
Preferences.UserInterface,Interfejs,,
Preferences.Hotkeys,Skróty klawiszowe,,
Preferences.Credits,Kredyty,,
UserData.LoadingStatus,Ładowanie danych...,,
UserData.LoadingAttempt,Próba {Attempt:int} z {MaxAttempts:int},,
Header.Translators,Tłumacze,,
Header.Licenses,Licencje źródeł otwartych,,
Header.History,Historia,,
Header.Tools,Narzędzia,,
Header.Modes,Tryby,,
Header.Layers,Warstwy,,
Preferences.NoValue,Żaden,,
Hotkey.Undo,Cofnij,,
Hotkey.Redo,Przerób,,
Hotkey.DrawTool,Rysuj,,
Hotkey.EraseTool,Wymaż,,
Hotkey.PenTool,Bezier,,
Hotkey.Eyedropper,Zakraplacz kolorów,,
Hotkey.VectorMode,Tryb wektora,,
Hotkey.PixelMode,Tryb piksela,,
Hotkey.ToggleLayer,Przełącz widoczność warstwy,,
Hotkey.RenameLayer,Zmień nazwę warstwy,,
Hotkey.DeleteLayer,Usuń warstwę,,
Hotkey.SelectNextLayer,Warstwa w górę,,
Hotkey.SelectPreviousLayer,Warstwa w dół,,
Hotkey.SelectFirstLayer,Najniższa warstwa,,
Hotkey.SelectLastLayer,Najwyższa warstwa,,
Hotkey.ShowConsole,Pokaż konsolę,,
Hotkey.CurrentlyRebinding,...,,
TaskDetails.VectorPen.Name,Ścieszka Béziera,,
TaskDetails.VectorPen.Details,"{NodeCount:int} węzłów, {SegmentCount:int} odcinków",,
FilterResult.Filtered,Zostanie przefiltrowany,,
FilterResult.Unfiltered,Nie zostanie przefiltrowany,,
FilterResult.Error,Błąd filtrowania tekstu,,
FilterResult.Loading,Filtrowanie...,,
PreferenceLabel.Theme,Motyw,,
PreferenceLabel.Scale,Skala,,
Theme.Light,Jasny,,
Theme.Dark,Ciemny,,
CursorType.Default,Domyślne,,
CursorType.Roblox,Roblox,,
Votekick.Label,Zagłosuj za wyrzuceniem,,
Votekick.StartedBy,Zaczęte przez {Username},,
Votekick.ContributionScore,Twój wynik głosowania wynosi {ContributionScore},,
Votekick.Voted,<b>Głos oddany!</b> Dziękujemy za twój udział.,,
Votekick.KickMessage,Zostałeś wyrzucony z tego serwera. Nie będziesz mógł dołączyć spowrotem przez następne 15 minut.,,
Votekick.CurrentlyBannedMessage,Przegłosowano wyrzucenie ciebie z tego serwera i tymczasowo zostajesz z niego wykluczony. Pozostały czas: {Minutes}m {Seconds}s,,
